date,pathogen,group,amount
2025-05-25,Parechovirus,Parechovirus,1
2025-06-01,Parechovirus,Parechovirus,0
2025-06-08,Parechovirus,Parechovirus,2
2025-06-15,Parechovirus,Parechovirus,0
2025-06-22,Parechovirus,Parechovirus,0
2025-06-29,Parechovirus,Parechovirus,0
2025-07-06,Parechovirus,Parechovirus,0
2025-07-13,Parechovirus,Parechovirus,0
2025-07-20,Parechovirus,Parechovirus,1
2025-07-27,Parechovirus,Parechovirus,0
2025-08-03,Parechovirus,Parechovirus,0
2025-08-10,Parechovirus,Parechovirus,0
2025-08-17,Parechovirus,Parechovirus,1
2025-08-24,Parechovirus,Parechovirus,0
2025-08-31,Parechovirus,Parechovirus,0
2025-09-07,Parechovirus,Parechovirus,0
2025-09-14,Parechovirus,Parechovirus,1
2025-09-21,Parechovirus,Parechovirus,2
2025-09-28,Parechovirus,Parechovirus,1
2022-10-02,Coronavirus 229E,Coronavirussen,0
2022-10-09,Coronavirus 229E,Coronavirussen,0
2022-10-16,Coronavirus 229E,Coronavirussen,0
2022-10-23,Coronavirus 229E,Coronavirussen,0
2022-10-30,Coronavirus 229E,Coronavirussen,0
2022-11-06,Coronavirus 229E,Coronavirussen,0
2022-11-13,Coronavirus 229E,Coronavirussen,0
2022-11-20,Coronavirus 229E,Coronavirussen,0
2022-11-27,Coronavirus 229E,Coronavirussen,0
2022-12-04,Coronavirus 229E,Coronavirussen,0
2022-12-11,Coronavirus 229E,Coronavirussen,0
2022-12-18,Coronavirus 229E,Coronavirussen,0
2022-12-25,Coronavirus 229E,Coronavirussen,0
2023-01-01,Coronavirus 229E,Coronavirussen,0
2023-01-08,Coronavirus 229E,Coronavirussen,0
2023-01-15,Coronavirus 229E,Coronavirussen,0
2023-01-22,Coronavirus 229E,Coronavirussen,0
2023-01-29,Coronavirus 229E,Coronavirussen,0
2023-02-05,Coronavirus 229E,Coronavirussen,1
2023-02-12,Coronavirus 229E,Coronavirussen,0
2023-02-19,Coronavirus 229E,Coronavirussen,1
2023-02-26,Coronavirus 229E,Coronavirussen,0
2023-03-05,Coronavirus 229E,Coronavirussen,0
2023-03-12,Coronavirus 229E,Coronavirussen,0
2023-03-19,Coronavirus 229E,Coronavirussen,0
2023-03-26,Coronavirus 229E,Coronavirussen,0
2023-04-02,Coronavirus 229E,Coronavirussen,1
2023-04-09,Coronavirus 229E,Coronavirussen,0
2023-04-16,Coronavirus 229E,Coronavirussen,1
2023-04-23,Coronavirus 229E,Coronavirussen,0
2023-04-30,Coronavirus 229E,Coronavirussen,0
2023-05-07,Coronavirus 229E,Coronavirussen,0
2023-05-14,Coronavirus 229E,Coronavirussen,0
2023-05-21,Coronavirus 229E,Coronavirussen,0
2023-05-28,Coronavirus 229E,Coronavirussen,0
2023-06-04,Coronavirus 229E,Coronavirussen,0
2023-06-11,Coronavirus 229E,Coronavirussen,0
2023-06-18,Coronavirus 229E,Coronavirussen,1
2023-06-25,Coronavirus 229E,Coronavirussen,0
2023-07-02,Coronavirus 229E,Coronavirussen,0
2023-07-09,Coronavirus 229E,Coronavirussen,0
2023-07-16,Coronavirus 229E,Coronavirussen,0
2023-07-23,Coronavirus 229E,Coronavirussen,0
2023-07-30,Coronavirus 229E,Coronavirussen,0
2023-08-06,Coronavirus 229E,Coronavirussen,0
2023-08-13,Coronavirus 229E,Coronavirussen,0
2023-08-20,Coronavirus 229E,Coronavirussen,0
2023-08-27,Coronavirus 229E,Coronavirussen,1
2023-09-03,Coronavirus 229E,Coronavirussen,0
2023-09-10,Coronavirus 229E,Coronavirussen,0
2023-09-17,Coronavirus 229E,Coronavirussen,0
2023-09-24,Coronavirus 229E,Coronavirussen,0
2023-10-01,Coronavirus 229E,Coronavirussen,0
2023-10-08,Coronavirus 229E,Coronavirussen,0
2023-10-15,Coronavirus 229E,Coronavirussen,0
2023-10-22,Coronavirus 229E,Coronavirussen,0
2023-10-29,Coronavirus 229E,Coronavirussen,0
2023-11-05,Coronavirus 229E,Coronavirussen,0
2023-11-12,Coronavirus 229E,Coronavirussen,0
2023-11-19,Coronavirus 229E,Coronavirussen,0
2023-11-26,Coronavirus 229E,Coronavirussen,1
2023-12-03,Coronavirus 229E,Coronavirussen,0
2023-12-10,Coronavirus 229E,Coronavirussen,1
2023-12-17,Coronavirus 229E,Coronavirussen,1
2023-12-24,Coronavirus 229E,Coronavirussen,0
2023-12-31,Coronavirus 229E,Coronavirussen,3
2024-01-07,Coronavirus 229E,Coronavirussen,0
2024-01-14,Coronavirus 229E,Coronavirussen,1
2024-01-21,Coronavirus 229E,Coronavirussen,0
2024-01-28,Coronavirus 229E,Coronavirussen,2
2024-02-04,Coronavirus 229E,Coronavirussen,2
2024-02-11,Coronavirus 229E,Coronavirussen,4
2024-02-18,Coronavirus 229E,Coronavirussen,0
2024-02-25,Coronavirus 229E,Coronavirussen,2
2024-03-03,Coronavirus 229E,Coronavirussen,2
2024-03-10,Coronavirus 229E,Coronavirussen,1
2024-03-17,Coronavirus 229E,Coronavirussen,1
2024-03-24,Coronavirus 229E,Coronavirussen,3
2024-03-31,Coronavirus 229E,Coronavirussen,2
2024-04-07,Coronavirus 229E,Coronavirussen,5
2024-04-14,Coronavirus 229E,Coronavirussen,3
2024-04-21,Coronavirus 229E,Coronavirussen,2
2024-04-28,Coronavirus 229E,Coronavirussen,1
